source_experiment_id,feature_set_version,chain,symbol,token_address,timestamp,holdings_change_1h_pct,price_return_1h_pct,positive_holdings_delta_hours_1h,negative_holdings_delta_hours_1h,accumulation_persistence_1h,distribution_persistence_1h,holdings_velocity_1h_pct_per_hour,holdings_acceleration_1h_pct_per_hour,holder_count_change_1h,accumulation_retention_1h,flow_price_divergence_1h_pct,market_phase_1h,holdings_change_4h_pct,price_return_4h_pct,positive_holdings_delta_hours_4h,negative_holdings_delta_hours_4h,accumulation_persistence_4h,distribution_persistence_4h,holdings_velocity_4h_pct_per_hour,holdings_acceleration_4h_pct_per_hour,holder_count_change_4h,accumulation_retention_4h,flow_price_divergence_4h_pct,market_phase_4h,holdings_change_12h_pct,price_return_12h_pct,positive_holdings_delta_hours_12h,negative_holdings_delta_hours_12h,accumulation_persistence_12h,distribution_persistence_12h,holdings_velocity_12h_pct_per_hour,holdings_acceleration_12h_pct_per_hour,holder_count_change_12h,accumulation_retention_12h,flow_price_divergence_12h_pct,market_phase_12h,holdings_change_24h_pct,price_return_24h_pct,positive_holdings_delta_hours_24h,negative_holdings_delta_hours_24h,accumulation_persistence_24h,distribution_persistence_24h,holdings_velocity_24h_pct_per_hour,holdings_acceleration_24h_pct_per_hour,holder_count_change_24h,accumulation_retention_24h,flow_price_divergence_24h_pct,market_phase_24h
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T07:00:00Z,0.0,-0.19545825181075394,0,0,0.0,0.0,0.0,0.0,0,,0.19545825181075394,flat,0.022765471426233752,-7.551755526731663,2,0,0.5,0.0,0.005691367856558438,0.005691367856558438,0,1.0,7.5745209981578965,accumulation_divergence,-0.3161523192644178,-13.942381878195963,4,2,0.3333333333333333,0.16666666666666666,-0.02634602660536815,,1,0.0,13.626229558931545,markdown,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T08:00:00Z,-0.008008395448932948,0.9027365338190707,0,1,0.0,1.0,-0.008008395448932948,-0.008008395448932948,1,,-0.9107449292680037,distribution_divergence,0.014745373781277493,-7.9817501220126434,1,1,0.25,0.25,0.0036863434453193733,0.003683874047677449,1,0.647989032685723,7.996495495793921,accumulation_divergence,-0.6756009955813602,-14.028962950549317,3,3,0.25,0.25,-0.05630008296511335,,2,0.0,13.353361954967957,markdown,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T09:00:00Z,0.0,3.731930367043268,0,0,0.0,0.0,0.0,0.008008395448932948,0,,-3.731930367043268,flat,-0.008008395448932948,-6.571321743802983,0,1,0.0,0.25,-0.002002098862233237,-0.007693466718791675,1,,6.5633133483540504,markdown,-0.6765190333919868,-4.389871123116739,2,3,0.16666666666666666,0.25,-0.056376586115998904,,1,0.0,3.7133520897247525,markdown,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T10:00:00Z,0.0,-1.5566138730092494,0,0,0.0,0.0,0.0,0.0,0,,1.5566138730092494,flat,-0.008008395448932948,2.837675870135792,0,1,0.0,0.25,-0.002002098862233237,-0.007693466718791675,1,,-2.8456842655847248,distribution_divergence,-0.30903297918211114,-5.291588160903471,2,2,0.16666666666666666,0.16666666666666666,-0.02575274826517593,,1,0.0,4.982555181721359,markdown,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T11:00:00Z,0.0,-5.305737560179957,0,0,0.0,0.0,0.0,0.0,0,,5.305737560179957,flat,-0.008008395448932948,-2.427908620456487,0,1,0.0,0.25,-0.002002098862233237,-0.007693466718791675,1,,2.419900225007554,markdown,0.014755252828324572,-3.1958948405299226,2,1,0.16666666666666666,0.08333333333333333,0.001229604402360381,0.0011809068808229146,1,0.648141764871407,3.210650093358247,accumulation_divergence,0.015339709312089944,-12.21725034445459,6,3,0.25,0.125,0.0006391545546704144,,3,0.021324794808375586,12.232590053766678,accumulation_divergence
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T12:00:00Z,0.0,-7.155384710268686,0,0,0.0,0.0,0.0,0.0,0,,7.155384710268686,flat,0.0,-10.220043595032212,0,0,0.0,0.0,0.0,-0.0036863434453193733,0,,10.220043595032212,flat,0.014755252828324572,-2.104279651008656,2,1,0.16666666666666666,0.08333333333333333,0.001229604402360381,0.0011809068808229146,1,0.648141764871407,2.1190349038369805,accumulation_divergence,0.015339709312089944,-19.000786224564102,6,3,0.25,0.125,0.0006391545546704144,,3,0.021324794808375586,19.016125933876193,accumulation_divergence
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T13:00:00Z,0.0,4.069063152321717,0,0,0.0,0.0,0.0,0.0,0,,-4.069063152321717,flat,0.0,-9.9282552646899,0,0,0.0,0.0,0.0,0.002002098862233237,0,,9.9282552646899,flat,0.014755252828324572,2.4284888149242123,2,1,0.16666666666666666,0.08333333333333333,0.001229604402360381,0.0011809068808229146,1,0.648141764871407,-2.4137335620958877,markup,0.015339709312089944,-20.532083314917703,6,3,0.25,0.125,0.0006391545546704144,,3,0.021324794808375586,20.547423024229793,accumulation_divergence
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T14:00:00Z,0.0,25.009069901724224,0,0,0.0,0.0,0.0,0.0,0,,-25.009069901724224,flat,0.0,14.378278488527997,0,0,0.0,0.0,0.0,0.002002098862233237,0,,-14.378278488527997,flat,0.014755252828324572,12.057594460035737,2,1,0.16666666666666666,0.08333333333333333,0.001229604402360381,0.0015603304706568455,1,0.648141764871407,-12.042839207207413,markup,0.010785954415171162,-11.828810056072802,5,3,0.20833333333333334,0.125,0.0004494147672987984,,3,0.015090506742899202,11.839596010487973,accumulation_divergence
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T15:00:00Z,0.0,-4.169643991181815,0,0,0.0,0.0,0.0,0.0,0,,4.169643991181815,flat,0.0,15.750530864499336,0,0,0.0,0.0,0.0,0.002002098862233237,0,,-15.750530864499336,flat,0.014755252828324572,4.411244913842971,2,1,0.16666666666666666,0.08333333333333333,0.001229604402360381,0.029466325403930866,1,0.648141764871407,-4.396489661014646,markup,-0.3241353959854032,-25.892265774931154,4,3,0.16666666666666666,0.125,-0.0135056414993918,,2,0.0,25.56813037894575,markdown
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T16:00:00Z,0.0,-5.7012946160119204,0,0,0.0,0.0,0.0,0.0,0,,5.7012946160119204,flat,0.0,17.563362979854592,0,0,0.0,0.0,0.0,0.0,0,,-17.563362979854592,flat,0.014745373781277493,-2.8762684084512657,1,1,0.08333333333333333,0.08333333333333333,0.001228781148439791,0.029464681806570803,1,0.647989032685723,2.8910137822325432,accumulation_divergence,-0.3241353959854032,-21.552442674383286,4,3,0.16666666666666666,0.125,-0.0135056414993918,,2,0.0,21.22830727839788,markdown
