chain,token_symbol,token_address,price_usd,price_change_pct,netflow_usd,market_cap_usd,flow_mcap_ratio,bucket,volume_usd,liquidity_usd,token_age_days
solana,SQUIRE,EN2nnxrg8uUi6x2sJkzNPd2eT6rB9rdSoQNNaENA4RZA,0.0013535405312700825,38.33443977579481,2419.008442946532,1320868.61068855,0.0018313770373311676,momentum,7322.181344024128,139951.03081247173,151.0
base,PRISMA,0xadf0d31463cb2f2a88dbf0bcb22964a7d5960c25,0.00680345318079361,119.22344161400918,2400.1383293564063,6769478.19334206,0.00035455293019733756,momentum,3294.8198288684957,114353.72388017198,156.0
base,WHISPER,0xadf1cdae27b2f3df38ade6b0e40231b97eceee1c,0.0123533748694315,4.743870612591565,2155.607116385417,10831476.5410619,0.00019901322854862452,early,8750.230398963895,144055.2839210809,157.0
base,MONGO,0xadf9afd4fa1dfef7a06a7cd56140af14a4dc2860,0.00729350872987118,1.8774772172034426,2128.1615316372827,7131696.7342978,0.0002984088655091733,early,4777.80528707116,118608.79099916715,157.0
solana,KIO,7rMnp9EJd61SvNn8LGc7SAJeQxM36oeECKmP2a7opump,0.0010733346654990099,-20.899886320738876,1882.694903831202,1078090.39276018,0.0017463237929530512,early,4234.219203109884,66006.5836079731,12.0
solana,STONK,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,0.008654433898481617,-14.137203680228582,1818.029662399108,8038798.2839155,0.00022615689537038497,early,14191.853167826812,413215.00543342385,24.0
bnb,XNY,0xe3225e11cab122f1a126a28997788e5230838ab9,0.00754289675557611,-7.136104259659744,1805.686525449199,18770050.6425,9.620040775812729e-05,early,1805.686525449199,61960.001759277045,418.0
solana,CUPSEY,6NwarBvDkXhByqVp2Qkq5i9XbtA2B3Bwe8SWGu9vpump,0.009637607321314983,9.52363573687541,1657.7002999840338,9703575.49821196,0.0001708339673648638,middle,1657.7002999840338,221621.87389982975,208.0
solana,GTAVI,EpVHyKK8oxcLmp2C2NhAos1oDxgBNriw3wSLSozYpump,0.0010184197561732829,-2.182654895686277,1491.1421451782714,1018292.36983233,0.0014643556107798391,early,1491.1421451782714,62703.621046217464,59.0
base,INFLUXDB,0xadf11a532448fa500827ce858f0706c1d5ff5418,0.00274103669685726,42.97912634184024,1380.247174189718,2753525.88744994,0.0005012653705129952,momentum,2241.9011739864327,72733.71052968639,157.0
base,UNION,0xadf55e4bc92b14619b9d3e94400c5fb64fcfa6e8,0.00162756236727837,32.53053713262713,1127.2575379310856,1681889.38951429,0.0006702328613040506,momentum,1410.1239000484375,56082.14212529505,156.0
base,YESPLAYMUSIC,0xadf5814f0ba9e691815c95008880be76e8a81e15,0.0224821128832981,-10.939582370978842,1112.8045256975838,22490494.5323876,4.9478882027030647e-05,early,9140.883804700728,207296.7749910879,157.0
base,DOGINME,0x6921b130d297cc43754afba22e5eac0fbf8db75b,7.30560464982484e-05,28.10537847781053,550.4172885867918,5040976.01959183,0.00010918863459131458,momentum,3212.4684048916342,459574.5513263692,924.0
base,ANYHOW,0xadfef873975ef4b6e13626f101b3d5c89f18da13,0.00300499677712676,10.59431062740087,516.9805026887111,3010465.36138668,0.0001717277698390722,middle,2089.0801990286745,77040.58769102216,246.0
bnb,LOT,0xbfe78de7d1c51e0868501d5fa3e88e674c79acdd,0.00580131990595673,-7.912593494024065,352.07147305838953,2675832.85027181,0.00013157453875440174,early,3166.9147790547954,223717.884371984,425.0
base,ADS,0xb20a4bd059f5914a2f8b9c18881c637f79efb7df,0.393497853324975,1.0751068855672783,33.29628712019621,15249870.6246331,2.18338161285203e-06,early,122542.28333001732,8203338.461895843,524.0
bnb,QUQ,0x4fa7c69a7b69f8bc48233024d546bc299d6b03bf,0.00180460425291173,0.33178040148559146,7.390158035588684,1804084.553,4.096347936298019e-06,early,74196.65037641863,2163043.29649832,513.0
bnb,牛来,0xbeea1d618e533a387d941f58a7d4c9b7bd377777,0.0154511363820729,160.90727752551823,-160.90773433489812,14955202.8540095,-1.0759314728503241e-05,momentum,112774.6128710887,551507.1766828093,3.0
base,SPLEETER,0xadf40491d185db435355c0f1d4ff159e1e04789e,0.00838235719678413,17.204918953899096,-194.99603343465333,8506087.02746161,-2.2924293250834998e-05,momentum,6862.505622995768,123906.9337780872,157.0
base,EXO,0xadfc90bc7f798c14a6450fb547a89307c670f3a6,0.00110008597935497,-43.67529680750681,-439.00981670126066,1100085.97935497,-0.00039906864094265787,early,7888.808686557726,45966.651713166786,157.0
base,SERVER,0xadf52088bdabbdd9077a0ed70e18226d75bd8d34,0.00185672696418575,43.48856639106437,-599.9407095087254,1933166.06046092,-0.000310341010935027,momentum,4236.320253229489,61198.39923078177,159.0
